,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,30,PF,1562977461,71,-9.8,-139.03,27.15,6.9
1,Busselton,95,AU,1562977461,85,-33.64,115.35,9.44,6.26
2,Bulgan,76,MN,1562977462,78,48.81,103.53,17.15,0.97
3,Faanui,33,PF,1562977462,70,-16.48,-151.75,25.15,0.77
4,Gamba,99,CN,1562977462,76,28.28,88.52,5.35,1.08
5,Tasiilaq,3,GL,1562977462,81,65.61,-37.64,6.0,2.6
6,Katsuura,75,JP,1562977463,83,33.93,134.5,25.56,0.5
7,Bluff,47,AU,1562977463,39,-23.58,149.07,19.35,2.32
8,Fairbanks,90,US,1562977213,88,64.84,-147.72,17.0,2.1
9,Macusani,4,PE,1562977463,74,-14.07,-70.43,0.05,0.22
10,Sao Paulo de Olivenca,42,BR,1562977463,95,-3.38,-68.87,23.05,0.71
11,Luderitz,0,NA,1562977464,87,-26.65,15.16,11.0,2.1
12,Lebu,90,ET,1562977464,100,8.96,38.73,13.0,2.1
13,Cherskiy,48,RU,1562977464,55,68.75,161.3,19.75,4.14
14,Paamiut,80,GL,1562977464,91,61.99,-49.67,5.65,5.87
15,Mahebourg,40,MU,1562977464,64,-20.41,57.7,21.0,2.6
16,Port Alfred,79,ZA,1562977465,92,-33.59,26.89,15.56,1.79
17,Tessalit,12,ML,1562977465,7,20.2,1.01,34.25,4.58
18,Fare,1,PF,1562977465,73,-16.7,-151.02,25.05,1.06
19,Innisfail,99,AU,1562977465,68,-17.52,146.03,18.89,2.68
20,Jalingo,97,NG,1562977466,90,10.3,10.93,22.15,2.39
21,Hilo,75,US,1562977466,54,19.71,-155.08,29.0,5.1
22,Kaitangata,88,NZ,1562977466,64,-46.28,169.85,8.89,0.89
23,Namibe,69,AO,1562977466,84,-15.19,12.15,18.45,2.2
24,Airai,54,TL,1562977466,56,-8.93,125.41,24.25,0.45
25,Umm Lajj,13,SA,1562977467,67,25.02,37.27,29.85,3.53
26,Lompoc,20,US,1562977224,77,34.64,-120.46,28.89,6.7
27,Tuktoyaktuk,40,CA,1562977467,75,69.44,-133.03,8.0,2.6
28,Bubaque,98,GW,1562977467,85,11.28,-15.83,26.25,5.32
29,Grand Gaube,40,MU,1562977467,64,-20.01,57.66,21.0,2.6
30,Rikitea,16,PF,1562977468,80,-23.12,-134.97,23.35,7.34
31,Ponta do Sol,0,BR,1562977468,55,-20.63,-46.0,15.55,0.89
32,Gizo,40,IL,1562977468,74,31.8,34.94,26.0,3.1
33,Netivot,0,IL,1562977468,85,31.42,34.59,25.0,2.01
34,Puerto Ayora,20,EC,1562977468,61,-0.74,-90.35,25.0,6.2
35,Kavieng,98,PG,1562977469,75,-2.57,150.8,27.85,4.13
36,Yanliang,0,CN,1562977469,88,34.66,109.22,22.0,1.28
37,Solrod,48,DK,1562977469,93,55.54,12.18,16.11,0.5
38,Vardo,1,US,1562977469,54,39.62,-77.74,29.0,4.1
39,Provideniya,100,RU,1562977469,34,64.42,-173.23,23.95,2.11
40,Nadym,37,RU,1562977470,64,65.53,72.51,14.05,3.25
41,Ushtobe,9,KZ,1562977470,45,45.25,77.98,21.75,7.66
42,Ahuimanu,20,US,1562977470,78,21.44,-157.84,31.67,5.7
43,Portland,90,US,1562977264,88,43.66,-70.25,23.89,3.1
44,Punta Arenas,90,CL,1562977347,93,-53.16,-70.91,5.0,6.7
45,Caiaponia,52,BR,1562977471,53,-16.96,-51.81,19.05,0.73
46,Vestmannaeyjar,98,IS,1562977471,93,63.44,-20.27,11.65,3.57
47,Cape Town,0,ZA,1562976741,93,-33.93,18.42,11.11,0.5
48,Agirish,100,RU,1562977471,76,61.92,63.02,14.75,2.05
49,Ushuaia,75,AR,1562977471,80,-54.81,-68.31,4.0,1.5
50,Jonesboro,1,US,1562977470,48,35.84,-90.7,31.67,4.6
51,Novobelokatay,45,RU,1562977472,83,55.7,58.96,18.55,5.17
52,Kimbe,100,PG,1562977472,86,-5.56,150.15,24.95,0.03
53,Arraial do Cabo,0,BR,1562977472,93,-22.97,-42.02,15.0,4.44
54,Bredasdorp,9,ZA,1562977472,72,-34.53,20.04,15.0,2.1
55,Terney,100,RU,1562977473,98,45.05,136.61,13.15,3.76
56,Port Hedland,0,AU,1562977473,25,-20.31,118.58,18.0,4.6
57,Saldanha,83,PT,1562977473,41,41.42,-6.55,25.15,1.97
58,Walvis Bay,0,NA,1562977473,87,-22.95,14.51,15.0,4.1
59,Butaritari,14,KI,1562977474,74,3.07,172.79,29.25,4.4
60,Ivanteyevka,20,RU,1562977474,93,55.97,37.92,12.0,2.0
61,Barrow,0,AR,1562977474,81,-38.31,-60.23,6.35,2.53
62,Nikolskoye,0,RU,1562977474,81,59.7,30.79,12.0,2.0
63,Mataura,100,NZ,1562977474,70,-46.19,168.86,13.89,0.45
64,Praia da Vitoria,20,PT,1562977475,83,38.73,-27.07,21.67,1.87
65,Qaanaaq,98,GL,1562977475,62,77.48,-69.36,6.75,1.04
66,Upernavik,0,GL,1562977475,69,72.79,-56.15,8.65,2.87
67,Perth,75,AU,1562977457,87,-31.95,115.86,11.67,4.1
68,Khatanga,95,RU,1562977475,68,71.98,102.47,11.45,2.71
69,Port Elizabeth,1,US,1562977475,74,39.31,-74.98,30.0,1.5
70,Mwense,20,ZM,1562977476,34,-10.39,28.7,11.75,1.75
71,Ruzomberok,75,SK,1562977476,93,49.07,19.31,15.0,1.36
72,Ahipara,17,NZ,1562977476,100,-35.17,173.16,17.22,7.41
73,Manokwari,84,ID,1562977476,50,-0.87,134.08,25.85,1.7
74,Rawson,0,AR,1562977477,55,-43.3,-65.11,7.45,4.54
75,Kapaa,75,US,1562977477,66,22.08,-159.32,30.0,5.7
76,Valdivia,0,CL,1562977194,81,-39.81,-73.25,11.0,3.1
77,Louis Trichardt,0,ZA,1562977477,38,-23.04,29.91,9.95,3.64
78,Saint George,75,GR,1562977477,93,39.45,22.34,20.0,1.12
79,Olinda,75,AU,1562977478,65,-37.84,145.39,10.0,8.2
80,Saint-Philippe,90,CA,1562977478,60,45.36,-73.48,24.0,5.1
81,Avarua,75,CK,1562977478,73,-21.21,-159.78,23.0,6.2
82,Izhma,50,RU,1562977478,95,65.01,53.91,11.25,2.81
83,Souillac,0,FR,1562977478,93,45.6,-0.6,19.44,2.6
84,Nanortalik,98,GL,1562977479,85,60.14,-45.24,5.95,1.43
85,Gospic,0,HR,1562977479,93,44.55,15.37,17.0,2.6
86,Port Hardy,90,CA,1562977479,82,50.7,-127.42,17.0,3.6
87,Perelyub,100,RU,1562977480,96,51.87,50.37,16.65,5.26
88,Manono,14,CD,1562977480,40,-7.3,27.4,20.15,1.05
89,Port Blair,83,IN,1562977480,78,11.67,92.75,28.35,6.82
90,New Norfolk,75,AU,1562977480,75,-42.78,147.06,6.11,8.7
91,Castro,90,CL,1562977480,93,-42.48,-73.76,8.0,8.7
92,Dikson,2,RU,1562977481,92,73.51,80.55,0.55,6.81
93,Kamenka,0,MD,1562977481,91,48.03,28.7,9.44,1.19
94,Biak,100,ID,1562977481,96,-0.91,122.88,17.55,2.62
95,Kato Mazarakion,20,GR,1562977481,83,38.07,21.65,21.0,0.2
96,Pangnirtung,95,CA,1562977481,84,66.15,-65.72,6.35,1.51
97,Polunochnoye,100,RU,1562977482,96,60.87,60.43,11.85,0.43
98,Karasjok,54,NO,1562977482,76,69.47,25.52,9.0,3.6
99,Indi,100,IN,1562977482,87,17.17,75.96,23.05,5.27
100,Isangel,75,VU,1562977482,65,-19.55,169.27,28.0,4.1
101,Billings,75,US,1562977293,27,45.79,-108.5,32.78,2.6
102,Bambous Virieux,40,MU,1562977483,64,-20.34,57.76,21.0,2.6
103,Saint-Augustin,75,CA,1562977483,73,45.63,-73.98,24.0,1.5
104,Santa Maria,0,BR,1562977483,49,-16.02,-48.01,21.0,0.5
105,Lahaina,40,US,1562977483,55,20.87,-156.68,32.0,6.2
106,Berlevag,49,NO,1562977484,87,70.86,29.09,6.75,2.12
107,Lafia,99,NG,1562977484,93,8.5,8.51,22.65,1.74
108,Ribeira Grande,4,PT,1562977484,86,38.52,-28.7,22.15,4.77
109,Cayenne,20,GF,1562977484,83,4.94,-52.33,26.0,2.08
110,Binzhou,0,CN,1562977484,61,37.38,117.96,28.33,2.56
111,San Juan de Uraba,56,CO,1562977485,74,8.76,-76.53,28.65,3.49
112,College,90,US,1562977203,88,64.86,-147.8,18.0,2.1
113,Viedma,0,AR,1562977485,67,-40.81,-62.99,7.25,2.25
114,Atar,16,MR,1562977485,20,20.52,-13.05,34.65,5.01
115,Moussoro,90,TD,1562977485,56,13.64,16.49,28.15,4.5
116,Wanaka,55,NZ,1562977486,87,-44.7,169.14,5.65,3.25
117,Onega,100,RU,1562977486,90,63.91,38.09,8.15,5.24
118,Mackay,75,CA,1562977486,38,53.65,-115.58,24.0,2.1
119,Hobart,75,AU,1562977234,75,-42.88,147.33,6.11,8.7
120,Moa,36,CU,1562977486,87,20.66,-74.95,22.35,1.74
121,Ilhabela,0,BR,1562977487,67,-23.78,-45.36,21.45,3.11
122,Khani,75,GE,1562977487,100,41.96,42.96,19.0,1.5
123,Pevek,73,RU,1562977487,91,69.7,170.27,4.35,3.74
124,Hithadhoo,7,MV,1562977333,76,-0.6,73.08,28.85,5.52
125,Darlowo,87,PL,1562977488,68,54.42,16.41,17.78,4.27
126,Turukhansk,68,RU,1562977488,86,65.8,87.96,16.35,3.52
127,Santa Quiteria,49,ES,1562977488,42,37.67,-1.69,27.78,3.58
128,Alice Springs,11,AU,1562977293,54,-23.7,133.88,13.0,8.7
129,Albany,20,US,1562977291,64,42.65,-73.75,24.44,4.1
130,Dunedin,71,NZ,1562977488,60,-45.87,170.5,11.11,4.02
131,Bastrop,75,US,1562977305,62,32.78,-91.91,32.0,3.6
132,Bathsheba,40,BB,1562977450,78,13.22,-59.52,27.0,4.6
133,Turochak,100,RU,1562977267,81,52.26,87.12,16.15,1.81
134,Husavik,93,CA,1562977489,45,50.56,-96.99,23.89,0.89
135,Mayo,90,CA,1562977490,63,63.59,-135.9,19.0,1.0
136,Pisco,90,PE,1562977490,82,-13.71,-76.2,17.22,2.1
137,Carnarvon,0,ZA,1562977490,26,-30.97,22.13,12.35,4.5
138,Thompson,40,CA,1562977490,41,55.74,-97.86,24.0,5.1
139,Cam Ranh,20,VN,1562977490,62,11.92,109.15,30.0,0.5
140,Venice,1,US,1562977315,74,27.1,-82.45,30.0,3.1
141,Nemuro,75,JP,1562977491,93,43.32,145.57,16.0,1.5
142,Nelson Bay,90,AU,1562977491,50,-32.72,152.14,15.56,8.7
143,Beroroha,0,MG,1562977491,75,-21.68,45.17,15.75,1.73
144,Manaus,68,BR,1562977212,92,-3.13,-59.98,23.45,1.15
145,Hamilton,75,CA,1562977364,72,43.26,-79.87,23.33,2.1
146,Cabo San Lucas,5,MX,1562977351,69,22.89,-109.91,32.78,3.1
